"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_posrt"
"23","0.509662","72.14.213.147","192.168.3.131","TLSv1","99","Application Data","443","52152"
"24","0.509663","72.14.213.147","192.168.3.131","TCP","60","[TCP ACKed unseen segment] 443  >  52152 [ACK] Seq=1993 Ack=2279 Win=13632 Len=0","443","52152"
"25","0.509701","192.168.3.131","72.14.213.147","TCP","54","[TCP Previous segment not captured] 52152  >  443 [ACK] Seq=2279 Ack=1993 Win=65508 Len=0","52152","443"
"26","0.619150","192.168.3.131","65.55.206.209","TCP","66","55953  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55953","80"
"27","0.650553","72.14.213.147","192.168.3.131","TLSv1","440","[TCP ACKed unseen segment] , Application Data","443","52152"
"28","0.651432","72.14.213.147","192.168.3.131","TLSv1","1484","Application Data","443","52152"
"29","0.651434","72.14.213.147","192.168.3.131","TLSv1","100","Application Data","443","52152"
"30","0.651478","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=2279 Ack=3855 Win=65780 Len=0","52152","443"
"31","0.652967","72.14.213.147","192.168.3.131","TLSv1","1484","Application Data","443","52152"
"32","0.652969","72.14.213.147","192.168.3.131","TLSv1","1085","Application Data, Application Data","443","52152"
"33","0.653019","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=2279 Ack=6316 Win=65780 Len=0","52152","443"
"34","0.679174","72.14.213.147","192.168.3.131","TLSv1","1484","Application Data","443","52152"
"35","0.679177","72.14.213.147","192.168.3.131","TLSv1","100","Application Data","443","52152"
"36","0.679236","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=2279 Ack=7792 Win=65780 Len=0","52152","443"
"37","0.679993","72.14.213.147","192.168.3.131","TLSv1","1484","Application Data","443","52152"
"38","0.679994","72.14.213.147","192.168.3.131","TLSv1","684","Application Data","443","52152"
"39","0.680017","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=2279 Ack=9852 Win=65780 Len=0","52152","443"
"40","0.683912","72.14.213.147","192.168.3.131","TLSv1","1484","Application Data","443","52152"
"41","0.684664","72.14.213.147","192.168.3.131","TLSv1","1484","Application Data, Application Data","443","52152"
"42","0.684665","72.14.213.147","192.168.3.131","TLSv1","198","Application Data","443","52152"
"43","0.684697","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=2279 Ack=12856 Win=65780 Len=0","52152","443"
"44","0.685465","72.14.213.147","192.168.3.131","TLSv1","863","Application Data, Application Data","443","52152"
"45","0.697918","65.55.206.209","192.168.3.131","TCP","60","80  >  55953 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460","80","55953"
"46","0.697991","192.168.3.131","65.55.206.209","TCP","54","55953  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0","55953","80"
"47","0.698384","192.168.3.131","65.55.206.209","HTTP","515","GET / HTTP/1.1 ","55953","80"
"48","0.709631","192.168.3.131","72.14.213.147","TLSv1","303","Application Data","52152","443"
"49","0.726173","72.14.213.147","192.168.3.131","TLSv1","1484","Application Data","443","52152"
"50","0.726988","72.14.213.147","192.168.3.131","TLSv1","1484","Application Data [TCP segment of a reassembled PDU]","443","52152"
"51","0.726989","72.14.213.147","192.168.3.131","TLSv1","173","Application Data","443","52152"
"52","0.727033","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=2528 Ack=16644 Win=65780 Len=0","52152","443"
"53","0.727805","72.14.213.147","192.168.3.131","TLSv1","1484","Application Data, Application Data","443","52152"
"54","0.728568","72.14.213.147","192.168.3.131","TLSv1","1484","Application Data [TCP segment of a reassembled PDU]","443","52152"
"55","0.728588","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=2528 Ack=19504 Win=65780 Len=0","52152","443"
"56","0.729330","72.14.213.147","192.168.3.131","TLSv1","1391","Application Data","443","52152"
"57","0.729333","72.14.213.147","192.168.3.131","TLSv1","1484","Application Data, Application Data","443","52152"
"58","0.729334","72.14.213.147","192.168.3.131","TLSv1","1484","Application Data [TCP segment of a reassembled PDU]","443","52152"
"59","0.729335","72.14.213.147","192.168.3.131","TLSv1","131","Application Data","443","52152"
"60","0.729376","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=2528 Ack=23778 Win=65780 Len=0","52152","443"
"61","0.730119","72.14.213.147","192.168.3.131","TLSv1","1298","Application Data, Application Data, Application Data","443","52152"
"62","0.733395","72.14.213.147","192.168.3.131","TLSv1","135","Application Data","443","52152"
"63","0.733443","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=2528 Ack=25103 Win=64452 Len=0","52152","443"
"64","0.747383","72.14.213.147","192.168.3.131","TLSv1","87","Application Data","443","52152"
"65","0.781122","192.168.3.131","72.14.213.138","HTTP","999","GET /complete/search?client=chrome&hl=en-US&q=crai HTTP/1.1 ","57011","80"
"66","0.782570","65.55.206.209","192.168.3.131","HTTP","350","HTTP/1.1 301 Moved Permanently ","80","55953"
"67","0.815889","72.14.213.138","192.168.3.131","HTTP","523","HTTP/1.1 200 OK  (text/javascript)","80","57011"
"68","0.820093","72.14.213.147","192.168.3.131","TCP","60","[TCP ACKed unseen segment] 443  >  52152 [ACK] Seq=25136 Ack=4468 Win=22208 Len=0","443","52152"
"69","0.852832","192.168.3.131","65.55.17.37","TCP","66","55954  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55954","80"
"70","0.858806","72.14.213.147","192.168.3.131","TCP","60","[TCP ACKed unseen segment] 443  >  52152 [ACK] Seq=25136 Ack=6494 Win=27904 Len=0","443","52152"
"71","0.869303","65.55.17.37","192.168.3.131","TCP","60","80  >  55954 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460","80","55954"
"72","0.869364","192.168.3.131","65.55.17.37","TCP","54","55954  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0","55954","80"
"73","0.869606","192.168.3.131","65.55.17.37","HTTP","653","GET / HTTP/1.1 ","55954","80"
"74","0.903496","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=1 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"75","0.904288","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=1461 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"76","0.904310","192.168.3.131","65.55.17.37","TCP","54","55954  >  80 [ACK] Seq=600 Ack=2921 Win=64240 Len=0","55954","80"
"77","0.905057","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=2921 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"78","0.905060","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=4381 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"79","0.905088","192.168.3.131","65.55.17.37","TCP","54","55954  >  80 [ACK] Seq=600 Ack=5841 Win=64240 Len=0","55954","80"
"80","0.922438","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=5841 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"81","0.923222","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=7301 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"82","0.923223","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=8761 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"83","0.923251","192.168.3.131","65.55.17.37","TCP","54","55954  >  80 [ACK] Seq=600 Ack=10221 Win=64240 Len=0","55954","80"
"84","0.924006","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=10221 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"85","0.924754","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=11681 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"86","0.924772","192.168.3.131","65.55.17.37","TCP","54","55954  >  80 [ACK] Seq=600 Ack=13141 Win=64240 Len=0","55954","80"
"87","0.925510","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [PSH, ACK] Seq=13141 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"88","0.925511","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=14601 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"89","0.925512","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=16061 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"90","0.925542","192.168.3.131","65.55.17.37","TCP","54","55954  >  80 [ACK] Seq=600 Ack=17521 Win=64240 Len=0","55954","80"
"91","0.943443","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=17521 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"92","0.944243","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=18981 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"93","0.944245","65.55.17.37","192.168.3.131","TCP","1514","80  >  55954 [ACK] Seq=20441 Ack=600 Win=8190 Len=1460 [TCP segment of a reassembled PDU]","80","55954"
"94","0.944249","65.55.17.37","192.168.3.131","HTTP","1455","HTTP/1.1 200 OK  (text/html)","80","55954"
"95","0.944334","192.168.3.131","65.55.17.37","TCP","54","55954  >  80 [ACK] Seq=600 Ack=23302 Win=64240 Len=0","55954","80"
"96","0.947773","72.14.213.147","192.168.3.131","TLSv1","132","[TCP ACKed unseen segment] , Application Data","443","52152"
"97","0.948727","72.14.213.147","192.168.3.131","TLSv1","1369","[TCP ACKed unseen segment] , Application Data, Application Data","443","52152"
"98","0.948757","192.168.3.131","72.14.213.147","TCP","54","[TCP Previous segment not captured] 52152  >  443 [ACK] Seq=6494 Ack=26529 Win=65780 Len=0","52152","443"
"99","0.977559","192.168.3.131","207.46.148.38","TCP","66","55955  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55955","80"
"100","0.982182","192.168.3.131","65.55.206.209","TCP","54","55953  >  80 [ACK] Seq=462 Ack=297 Win=63944 Len=0","55953","80"
"101","0.987988","72.14.213.147","192.168.3.131","TLSv1","113","[TCP ACKed unseen segment] , Application Data","443","52152"
"102","0.988780","72.14.213.147","192.168.3.131","TLSv1","845","Application Data, Application Data","443","52152"
"103","0.988806","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=6494 Ack=27379 Win=64928 Len=0","52152","443"
"104","0.989906","207.46.148.38","192.168.3.131","TCP","62","80  >  55955 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 SACK_PERM=1","80","55955"
"105","0.989958","192.168.3.131","207.46.148.38","TCP","54","55955  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0","55955","80"
"106","0.990227","192.168.3.131","207.46.148.38","HTTP","502","GET /action/MMN_Homepage HTTP/1.1 ","55955","80"
"107","1.005682","207.46.148.38","192.168.3.131","HTTP","333","HTTP/1.1 200 OK  (GIF89a)","80","55955"
"108","1.005759","192.168.3.131","207.46.148.38","TCP","54","55955  >  80 [ACK] Seq=449 Ack=281 Win=63961 Len=0","55955","80"
"109","1.006179","192.168.3.131","207.46.148.38","TCP","54","55955  >  80 [FIN, ACK] Seq=449 Ack=281 Win=63961 Len=0","55955","80"
"110","1.010656","192.168.3.131","66.235.139.121","TCP","66","55956  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55956","80"
"111","1.015499","192.168.3.131","72.14.213.138","TCP","54","57011  >  80 [ACK] Seq=1889 Ack=856 Win=16445 Len=0","57011","80"
"112","1.027163","192.168.3.131","72.14.213.147","TLSv1","120","[TCP Previous segment not captured] , Application Data","52152","443"
"113","1.031197","207.46.148.38","192.168.3.131","TCP","60","80  >  55955 [ACK] Seq=281 Ack=450 Win=64240 Len=0","80","55955"
"114","1.033319","192.168.3.131","65.55.5.232","TCP","66","55957  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55957","80"
"115","1.033862","192.168.3.131","65.55.239.163","TCP","66","55958  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55958","80"
"116","1.043175","66.235.139.121","192.168.3.131","TCP","66","80  >  55956 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1460 WS=1 SACK_PERM=1","80","55956"
"117","1.043239","192.168.3.131","66.235.139.121","TCP","54","55956  >  80 [ACK] Seq=1 Ack=1 Win=65700 Len=0","55956","80"
"118","1.043679","192.168.3.131","66.235.139.121","HTTP","1107","GET /b/ss/msnportalhomepagecaen/1/H.7-pdv-2/s84495919100008?[AQB]&ndh=1&t=25%2F0%2F2011%2010%3A52%3A23%202%20480&ns=msnportal&pageName=MSN%20CanadaMSFTW&g=http%3A%2F%2Fca.msn.com%2F&r=&s=1680x1050&c=32&k=Y&bw=1680&bh=949&hp=N&ch=&server=msn.com&c1=Portal&v1=1%2F2011&c2=en-ca&v2=1%2F25%2F2011&c3=12.0&c19=Dblu%2CW1%2CQ1%2C4.0&c22=True&c29=http%3A%2F%2Fca.msn.com%2F&c4=&cc=USD&ct=lan&v=Y&j=1.3&[AQE] HTTP/1.1 ","55956","80"
"119","1.047696","72.14.213.147","192.168.3.131","TCP","60","[TCP ACKed unseen segment] 443  >  52152 [ACK] Seq=27379 Ack=8378 Win=33664 Len=0","443","52152"
"120","1.051260","192.168.3.131","72.14.213.147","TLSv1","309","Application Data","52152","443"
"121","1.051349","65.55.5.232","192.168.3.131","TCP","60","80  >  55957 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460","80","55957"
"122","1.051411","192.168.3.131","65.55.5.232","TCP","54","55957  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0","55957","80"
"123","1.051750","192.168.3.131","65.55.5.232","HTTP","701","GET /ADSAdClient31.dll?GetSAd=&DPJS=0&PN=MSFT&PG=CAE9TX&AP=1389 HTTP/1.1 ","55957","80"
"124","1.069948","72.14.213.147","192.168.3.131","TCP","60","443  >  52152 [ACK] Seq=27379 Ack=8699 Win=36480 Len=0","443","52152"
"125","1.071296","65.55.5.232","192.168.3.131","HTTP","1066","HTTP/1.1 200 OK  (text/html)","80","55957"
"126","1.080227","66.235.139.121","192.168.3.131","HTTP","734","HTTP/1.1 302 Found ","80","55956"
"127","1.112893","65.55.239.163","192.168.3.131","TCP","60","80  >  55958 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460","80","55958"
"128","1.112950","192.168.3.131","65.55.239.163","TCP","54","55958  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0","55958","80"
"129","1.113300","192.168.3.131","65.55.239.163","HTTP","632","GET /c.gif?di=210&pi=11654&ps=10274&tp=http://ca.msn.com/ca.msn.com/default.aspxW&rf= HTTP/1.1 ","55958","80"
"130","1.113923","72.14.213.147","192.168.3.131","TLSv1","176","Application Data","443","52152"
"131","1.114710","72.14.213.147","192.168.3.131","TLSv1","87","Application Data","443","52152"
"132","1.114730","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=8699 Ack=27534 Win=64772 Len=0","52152","443"
"133","1.118365","192.168.3.131","65.55.5.231","TCP","66","55959  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55959","80"
"134","1.135895","65.55.5.231","192.168.3.131","TCP","60","80  >  55959 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460","80","55959"
"135","1.135949","192.168.3.131","65.55.5.231","TCP","54","55959  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0","55959","80"
"136","1.136332","192.168.3.131","65.55.5.231","HTTP","703","GET /ADSAdClient31.dll?GetSAd=&DPJS=0&PN=MSFT&PG=CAE9UT&AP=1440 HTTP/1.1 ","55959","80"
"137","1.155744","65.55.5.231","192.168.3.131","HTTP","1066","HTTP/1.1 200 OK  (text/html)","80","55959"
"138","1.160942","72.14.213.147","192.168.3.131","TLSv1","110","Application Data","443","52152"
"139","1.161740","72.14.213.147","192.168.3.131","TLSv1","514","Application Data, Application Data","443","52152"
"140","1.161786","192.168.3.131","72.14.213.147","TCP","54","52152  >  443 [ACK] Seq=8699 Ack=28050 Win=65780 Len=0","52152","443"
"141","1.168112","192.168.3.131","206.108.207.139","TCP","66","55960  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55960","80"
"142","1.175006","192.168.3.131","184.24.133.32","TCP","66","55961  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55961","80"
"143","1.177821","206.108.207.139","192.168.3.131","TCP","66","80  >  55960 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=32","80","55960"
"144","1.177878","192.168.3.131","206.108.207.139","TCP","54","55960  >  80 [ACK] Seq=1 Ack=1 Win=65700 Len=0","55960","80"
"145","1.178219","192.168.3.131","206.108.207.139","HTTP","565","GET /r?c2=3000001&d.c=gif&d.o=msnportalhomepagecaen&d.x=184063711&d.t=page&d.u=http%3A%2F%2Fca.msn.com%2F HTTP/1.1 ","55960","80"
"146","1.187316","206.108.207.139","192.168.3.131","TCP","60","80  >  55960 [ACK] Seq=1 Ack=512 Win=6912 Len=0","80","55960"
"147","1.188093","206.108.207.139","192.168.3.131","HTTP","576","HTTP/1.1 200 OK  (GIF89a)","80","55960"
"148","1.188914","184.24.133.32","192.168.3.131","TCP","66","80  >  55961 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=32","80","55961"
"149","1.188961","192.168.3.131","184.24.133.32","TCP","54","55961  >  80 [ACK] Seq=1 Ack=1 Win=65700 Len=0","55961","80"
"150","1.190667","192.168.3.131","184.24.133.32","HTTP","758","GET /scripts/beacon.dll?c1=2&c2=2128&c3=&c4=&c5=&c6=&c7=http%3A//ca.msn.com/&c8=MSN%20Canada%20-%20The%20home%20of%20world-class%20services%20such%20as%20Hotmail%2C%20Windows%20Live%20Messenger%2C%20and%20News%2C%20Sports%2C%20Financial%20and%20Entertainment&c9=&c10=1680x1050&rn=1295981543432 HTTP/1.1 ","55961","80"
"151","1.193330","65.55.239.163","192.168.3.131","HTTP","465","HTTP/1.1 200 OK  (GIF89a)","80","55958"
"152","1.202810","184.24.133.32","192.168.3.131","TCP","60","80  >  55961 [ACK] Seq=1 Ack=705 Win=7264 Len=0","80","55961"
"153","1.203871","184.24.133.32","192.168.3.131","HTTP","576","HTTP/1.1 200 OK  (GIF89a)","80","55961"
"154","1.270317","192.168.3.131","65.55.5.232","TCP","66","55962  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55962","80"
"155","1.277184","192.168.3.131","65.55.5.232","TCP","54","55957  >  80 [ACK] Seq=648 Ack=1013 Win=63228 Len=0","55957","80"
"156","1.278165","192.168.3.131","66.235.139.121","TCP","54","55956  >  80 [ACK] Seq=1054 Ack=681 Win=65020 Len=0","55956","80"
"157","1.288204","65.55.5.232","192.168.3.131","TCP","60","80  >  55962 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460","80","55962"
"158","1.288264","192.168.3.131","65.55.5.232","TCP","54","55962  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0","55962","80"
"159","1.288453","192.168.3.131","65.55.5.232","HTTP","703","GET /ADSAdClient31.dll?GetSAd=&DPJS=0&PN=MSFT&PG=CAEREC&AP=1089 HTTP/1.1 ","55962","80"
"160","1.308947","65.55.5.232","192.168.3.131","HTTP","1360","HTTP/1.1 200 OK  (text/html)","80","55962"
"161","1.348198","192.168.3.131","65.55.5.231","TCP","54","55959  >  80 [ACK] Seq=650 Ack=1013 Win=63228 Len=0","55959","80"
"162","1.356724","192.168.3.131","65.54.95.140","TCP","66","55963  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55963","80"
"163","1.369207","65.54.95.140","192.168.3.131","TCP","66","80  >  55963 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=16 SACK_PERM=1","80","55963"
"164","1.369256","192.168.3.131","65.54.95.140","TCP","54","55963  >  80 [ACK] Seq=1 Ack=1 Win=65700 Len=0","55963","80"
"165","1.369435","192.168.3.131","65.54.95.140","HTTP","451","GET /i/94/9BE085B9BAD824CEB7C33F498354B.jpg HTTP/1.1 ","55963","80"
"166","1.383210","65.54.95.140","192.168.3.131","TCP","1514","80  >  55963 [ACK] Seq=1 Ack=398 Win=65696 Len=1460 [TCP segment of a reassembled PDU]","80","55963"
"167","1.384016","65.54.95.140","192.168.3.131","TCP","1514","80  >  55963 [ACK] Seq=1461 Ack=398 Win=65696 Len=1460 [TCP segment of a reassembled PDU]","80","55963"
"168","1.384037","192.168.3.131","65.54.95.140","TCP","54","55963  >  80 [ACK] Seq=398 Ack=2921 Win=65700 Len=0","55963","80"
"169","1.390205","192.168.3.131","65.55.239.163","TCP","54","55958  >  80 [ACK] Seq=579 Ack=412 Win=63829 Len=0","55958","80"
"170","1.397197","192.168.3.131","206.108.207.139","TCP","54","55960  >  80 [ACK] Seq=512 Ack=523 Win=65176 Len=0","55960","80"
"171","1.397580","65.54.95.140","192.168.3.131","HTTP","373","HTTP/1.1 200 OK  (JPEG JFIF image)","80","55963"
"172","1.406181","192.168.3.131","184.24.133.32","TCP","54","55961  >  80 [ACK] Seq=705 Ack=523 Win=65176 Len=0","55961","80"
"173","1.496915","192.168.3.131","63.215.202.48","TCP","66","55966  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55966","80"
"174","1.514247","192.168.3.131","65.55.5.232","TCP","54","55962  >  80 [ACK] Seq=650 Ack=1307 Win=62934 Len=0","55962","80"
"175","1.568148","63.215.202.48","192.168.3.131","TCP","60","80  >  55966 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460","80","55966"
"176","1.568280","192.168.3.131","63.215.202.48","TCP","54","55966  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0","55966","80"
"177","1.568779","192.168.3.131","63.215.202.48","HTTP","569","GET /ad/js/12308-120034-30721-0?mpt=[1627390274ER]&mpvc= HTTP/1.1 ","55966","80"
"178","1.606226","192.168.3.131","65.54.95.140","TCP","54","55963  >  80 [ACK] Seq=398 Ack=3240 Win=65380 Len=0","55963","80"
"179","1.640650","63.215.202.48","192.168.3.131","HTTP","678","HTTP/1.1 302 Moved Temporarily ","80","55966"
"180","1.714140","192.168.3.131","72.14.213.138","HTTP","1005","GET /complete/search?client=chrome&hl=en-US&q=craigslist HTTP/1.1 ","57011","80"
"181","1.748064","72.14.213.138","192.168.3.131","HTTP","533","HTTP/1.1 200 OK  (text/javascript)","80","57011"
"182","1.768129","192.168.3.131","63.215.202.49","TCP","66","55967  >  80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1","55967","80"
"183","1.836397","63.215.202.49","192.168.3.131","TCP","60","80  >  55967 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460","80","55967"
"184","1.836456","192.168.3.131","63.215.202.49","TCP","54","55967  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0","55967","80"
"185","1.836827","192.168.3.131","63.215.202.49","HTTP","694","GET /content/0/12308/120034/1326513_300x250_new_year_v130_trend_en_c02.js?mpck=altfarm.mediaplex.com%2Fad%2Fck%2F12308-120034-30721-0%3Fmpt%3D%5B1627390274ER%5D&mpt=[1627390274ER]&mpvc= HTTP/1.1 ","55967","80"
"186","1.846265","192.168.3.131","63.215.202.48","TCP","54","55966  >  80 [ACK] Seq=516 Ack=625 Win=63616 Len=0","55966","80"
"187","1.907889","63.215.202.49","192.168.3.131","TCP","1514","80  >  55967 [ACK] Seq=1 Ack=641 Win=16380 Len=1460 [TCP segment of a reassembled PDU]","80","55967"
